,session,section,type,game,ref_game,move_num,player,start_row,start_col,end_row,end_col,RT,DT,winner,chosen_winner
299,2,4,euc,22,,3,human,1,1,1,0,3.2877155839814804,3.3331612089823466,AI,
300,2,4,euc,22,,4,AI,1,0,0,0,,1.25,AI,
301,2,4,euc,23,,1,AI,7,3,4,3,,1.25,AI,
302,2,4,euc,23,,2,human,4,3,1,3,7.340281416021753,7.388232666009571,AI,
303,2,4,euc,23,,3,AI,1,3,1,1,,1.25,AI,
304,2,4,euc,23,,4,human,1,1,1,0,8.079442207992543,8.127681707992451,AI,
305,2,4,euc,23,,5,AI,1,0,0,0,,1.25,AI,
306,2,4,euc,24,,1,human,12,3,3,3,6.465951624995796,6.51417125001899,human,
307,2,4,euc,24,,2,AI,3,3,3,0,,1.25,human,
308,2,4,euc,24,,3,human,3,0,0,0,1.7774294169794302,1.8240306249936111,human,
309,2,4,euc,25,,1,AI,2,8,2,4,,1.25,AI,
310,2,4,euc,25,,2,human,2,4,2,0,14.064523541979725,14.111139749991708,AI,
311,2,4,euc,25,,3,AI,2,0,0,0,,1.25,AI,
312,2,4,euc,26,,1,human,7,13,7,6,12.269060749997152,12.315592041006312,AI,
313,2,4,euc,26,,2,AI,7,6,1,6,,1.25,AI,
314,2,4,euc,26,,3,human,1,6,1,0,2.3470273329876363,2.3948785419925116,AI,
315,2,4,euc,26,,4,AI,1,0,0,0,,1.25,AI,
316,2,4,euc,27,,1,AI,1,2,1,1,,1.25,AI,
317,2,4,euc,27,,2,human,1,1,1,0,7.088733167009195,7.139106249989709,AI,
318,2,4,euc,27,,3,AI,1,0,0,0,,1.25,AI,
319,2,4,euc,28,,1,AI,11,11,11,0,,1.25,human,
320,2,4,euc,28,,2,human,11,0,0,0,13.007482542016078,13.056776333018206,human,
321,2,4,euc,29,,1,human,10,4,6,4,10.065467375010485,10.11360454102396,AI,
322,2,4,euc,29,,2,AI,6,4,2,4,,1.25,AI,
323,2,4,euc,29,,3,human,2,4,2,0,5.333560500002932,5.380190916999709,AI,
324,2,4,euc,29,,4,AI,2,0,0,0,,1.25,AI,
325,2,4,euc,30,,1,AI,9,0,0,0,,1.25,AI,
